Date,cluster,signal,next_return,strategy_ret
2025-10-20,1,0,0.002021044840732289,0.0
2025-10-21,1,0,-0.016440145325788524,0.0
2025-10-22,1,0,0.004372119604812541,0.0
2025-10-23,1,0,0.012481781799657865,0.0
2025-10-24,1,0,0.02279122619072771,0.0
2025-10-27,1,0,0.0007068280314419528,0.0
2025-10-28,1,0,0.0026022758625696696,0.0
2025-10-29,1,0,0.006303231785351748,0.0
2025-10-30,1,0,-0.0037951319176879883,0.0
2025-10-31,1,0,-0.0048822256465500535,0.0
2025-11-03,1,0,0.003679690752169673,0.0
2025-11-04,1,0,0.00037033809935982376,0.0
2025-11-05,1,0,-0.001369754996301431,0.0
2025-11-06,1,0,-0.004818874767062664,0.0
2025-11-07,1,0,0.0,0.0
